time_per_epoch,epoch,generator_loss,student_kd_loss,n_cls_t_pred_avg,n_cls_s_pred_avg,max_g_grad_norm_avg,max_s_grad_norm_avg,s_optim_lr,g_optim_lr,test_acc
0.3826749324798584,50,-0.8580103,1.196986,5.1568627,2.835294,16.0049,1.0158632,0.0019999985,0.0009999991,0.2095
0.38129305839538574,100,-0.86766917,1.1649851,5.4752474,3.291089,9.973917,0.8065242,0.0019999936,0.0009999962,0.2108
0.3919525146484375,150,-1.0322506,1.351568,5.8278146,3.8668873,8.514973,0.7376455,0.001999986,0.0009999913,0.2081
0.3862454891204834,200,-1.198122,1.5541146,6.3333335,4.450746,7.95529,0.79620284,0.0019999745,0.0009999847,0.2133
0.3874549865722656,250,-1.3557003,1.7271659,6.8884463,5.0378485,7.747287,0.81959146,0.0019999603,0.000999976,0.3153
0.3845639228820801,300,-1.4603124,1.8095762,7.372093,5.62093,7.7921815,0.88942546,0.0019999428,0.0009999654,0.2901
0.3816795349121094,350,-1.4566665,1.7951256,7.746439,6.0321937,7.227125,0.83970606,0.001999922,0.0009999528,0.3254
0.3934307098388672,400,-1.4735765,1.7885505,8.024938,6.3965087,6.559463,0.8551492,0.001999898,0.0009999383,0.3615
0.3892989158630371,450,-1.4560733,1.7289141,8.241685,6.6634145,6.1037683,0.92761767,0.001999871,0.0009999219,0.1816
0.39628052711486816,500,-1.4511957,1.722819,8.41517,6.9319363,6.1144795,0.92438453,0.0019998408,0.0009999037,0.2894
0.3916046619415283,550,-1.4716264,1.7410946,8.558984,7.15608,5.8509135,0.8988347,0.0019998073,0.0009998835,0.2946
0.3896219730377197,600,-1.4656068,1.7121949,8.678868,7.35807,5.609961,0.88205075,0.0019997708,0.0009998613,0.2047
0.3843710422515869,650,-1.4688927,1.7094265,8.778802,7.5073733,5.3275537,0.8800595,0.001999731,0.0009998372,0.3321
0.3888270854949951,700,-1.4464623,1.6774123,8.8602,7.6253924,5.329575,0.8151687,0.0019996879,0.0009998111,0.2874
0.3865394592285156,750,-1.4654433,1.6862534,8.936085,7.7519307,5.1914563,0.8709529,0.0019996418,0.0009997832,0.3372
0.38930606842041016,800,-1.4546622,1.6769053,9.002497,7.87166,5.057153,0.84816694,0.0019995922,0.0009997532,0.2587
0.3922450542449951,850,-1.4335653,1.6467961,9.05993,7.9552293,5.0111923,0.8267127,0.0019995398,0.0009997215,0.3312
0.38736438751220703,900,-1.4555973,1.652325,9.112098,8.028191,4.7744055,0.8097716,0.001999484,0.0009996878,0.2898
0.38942575454711914,950,-1.4592981,1.6450768,9.15878,8.115458,4.745886,0.77783984,0.001999425,0.0009996521,0.428
0.394085168838501,1000,-1.4775307,1.6529334,9.200799,8.1996,4.557072,0.7928451,0.0019993628,0.0009996145,0.3818
0.386690616607666,1050,-1.4384652,1.60446,9.23882,8.270314,4.465072,0.7801467,0.0019992976,0.000999575,0.3815
0.3911874294281006,1100,-1.4637288,1.6185482,9.273388,8.329064,4.4521775,0.80542135,0.001999229,0.0009995337,0.3963
0.3880181312561035,1150,-1.4531462,1.6150163,9.304953,8.395742,4.388838,0.7632665,0.0019991575,0.0009994903,0.4028
