epoch,acc,loss,lr,val_acc,val_loss
0,0.51224,1.560720276107788,0.1,0.4606,2.056924560402013
1,0.67354,1.129548003768921,0.1,0.5937,1.484208020982863
2,0.724,0.9995797544288635,0.1,0.6575,1.2316741143600851
3,0.74998,0.9342586396598815,0.1,0.6423,1.2920281011847001
4,0.76864,0.8942066915512085,0.1,0.7308,1.0081324622600893
5,0.78296,0.8671328059768677,0.1,0.7042,1.0848028448563587
6,0.79072,0.855490153465271,0.1,0.7233,1.0586579042144968
7,0.7929,0.8489482239341736,0.1,0.6773,1.2604625496683242
8,0.79744,0.8415993042373657,0.1,0.649,1.4183559115928939
9,0.80406,0.8274766597366333,0.1,0.7456,0.9867022588283201
10,0.80496,0.8302527391052246,0.1,0.6996,1.1897564477558378
11,0.8103,0.8188294440841675,0.1,0.7083,1.1159024449843395
12,0.81322,0.8141735523986816,0.1,0.6245,1.4296302599242972
13,0.81384,0.8135474722671509,0.1,0.5788,1.7007957198951817
14,0.8147,0.8129456849288941,0.1,0.7057,1.1211890638629092
15,0.81626,0.8089783288955689,0.1,0.6423,1.4599059367481666
16,0.81874,0.8042305220031738,0.1,0.5794,1.7659523834156086
17,0.81872,0.8064427223968506,0.1,0.7234,1.1581543895262707
18,0.82124,0.7963629864883423,0.1,0.6826,1.2172879938837848
19,0.82274,0.7968258661651612,0.1,0.7135,1.1273580653757989
20,0.82272,0.793168785572052,0.1,0.7141,1.121114437338672
21,0.82798,0.7860135942077636,0.1,0.6885,1.1621809035916872
22,0.82278,0.796647508354187,0.1,0.4839,3.032138991959487
23,0.8268,0.7867407355880738,0.1,0.6751,1.3647677868227415
24,0.82752,0.790247753276825,0.1,0.7416,1.0573824893070172
25,0.82762,0.7902700343513489,0.1,0.711,1.1572890741915642
26,0.82768,0.7860273757362366,0.1,0.5626,2.1817309464080425
27,0.82928,0.7817811350059509,0.1,0.6332,1.483704456800147
28,0.82906,0.7808056205749512,0.1,0.6752,1.3261611552178105
29,0.83046,0.7808742988586426,0.1,0.7015,1.2810741300824322
30,0.82882,0.7849746069145203,0.1,0.5649,1.709579962718336
