,student,teacher
0,0.09999999403953552,0.1000000074505806
1,0.3051179319620132,0.26707189679145815
2,0.7206559181213379,0.5204698920249939
3,0.9218917608261108,0.6579472124576569
4,0.9655338764190674,0.6904229700565339
5,0.9749081969261167,0.7026020765304566
6,0.9792231202125548,0.7112640559673309
7,0.9812059164047241,0.7181367874145508
8,0.9824284672737121,0.7238305807113647
9,0.9834714174270628,0.7287506103515625
10,0.9843061208724976,0.7330839872360229
11,0.9848835468292236,0.7369734048843384
12,0.9853261113166809,0.7404839873313904
13,0.9856799483299256,0.7436826825141907
14,0.9859782099723814,0.7466231346130371
15,0.9862355947494507,0.7493577003479004
16,0.9864604711532591,0.7518986642360688
17,0.9866592764854432,0.7542793393135071
18,0.98683705329895,0.7565097570419311
19,0.9869966983795168,0.7586097121238708
20,0.9871408939361572,0.7605952441692352
21,0.9872718930244446,0.7624743998050689
22,0.9873916268348693,0.7642596244812012
23,0.9875017046928406,0.7659554243087768
24,0.9876033067703247,0.7675828814506531
25,0.9876970767974853,0.7691453754901886
26,0.9877841949462891,0.7706392586231232
27,0.9878650903701784,0.7720812141895295
28,0.9879408359527588,0.7734741926193237
29,0.9880115389823911,0.7748173356056214
